Kierunek;Czas;b.moto;c.osobowe;c3.mikrobusy;d.dostawcze;e.ciezarowe;f.ciezarowe.z.naczepami;g.autobusy;h.rolne;rowery;hulajnogi;pieszy;pieszy potrzeby
B;2026-05-27 00:00;0;2;0;0;0;0;0;0;0;0;0;0
B;2026-05-27 01:00;0;1;0;0;0;1;0;0;0;0;0;0
B;2026-05-27 02:00;0;1;0;2;0;1;0;0;0;0;0;0
B;2026-05-27 03:00;0;1;0;0;0;0;0;0;0;0;0;0
B;2026-05-27 04:00;0;1;0;3;0;0;1;0;0;0;0;0
B;2026-05-27 05:00;0;9;0;1;0;0;3;0;0;0;0;0
B;2026-05-27 06:00;0;74;0;2;0;0;2;0;2;0;0;0
B;2026-05-27 07:00;1;141;0;2;0;0;2;0;5;0;2;0
B;2026-05-27 08:00;1;105;0;1;0;0;1;0;3;0;6;0
B;2026-05-27 09:00;0;106;0;8;1;1;1;0;4;0;4;0
B;2026-05-27 10:00;2;81;0;3;0;0;2;0;2;0;4;0
B;2026-05-27 11:00;1;92;0;3;2;0;1;0;0;0;0;0
B;2026-05-27 12:00;0;113;0;4;1;0;2;0;0;0;0;0
B;2026-05-27 13:00;0;104;0;1;2;0;2;0;0;0;0;0
B;2026-05-27 14:00;3;129;0;1;0;0;2;0;0;0;0;0
B;2026-05-27 15:00;0;122;0;2;0;0;2;0;0;0;0;0
B;2026-05-27 16:00;1;126;0;5;0;0;1;0;0;0;0;0
B;2026-05-27 17:00;0;136;0;2;0;0;3;0;0;0;0;0
B;2026-05-27 18:00;0;157;0;2;0;0;1;0;0;0;0;0
B;2026-05-27 19:00;1;151;0;3;0;0;1;0;0;0;0;0
B;2026-05-27 20:00;0;98;0;1;0;0;1;0;0;0;0;0
B;2026-05-27 21:00;2;78;0;0;0;0;2;0;0;0;0;0
B;2026-05-27 22:00;0;19;0;0;0;0;2;0;0;0;0;0
B;2026-05-27 23:00;0;2;0;0;0;0;0;0;0;0;0;0
A;2026-05-27 00:00;0;1;0;0;0;0;0;0;0;0;0;0
A;2026-05-27 01:00;0;0;0;7;0;0;0;0;0;0;0;0
A;2026-05-27 02:00;0;1;0;1;0;0;0;0;0;0;0;0
A;2026-05-27 03:00;0;1;0;0;0;0;0;0;0;0;0;0
A;2026-05-27 04:00;0;0;0;0;0;0;0;0;0;0;0;0
A;2026-05-27 05:00;0;16;0;0;0;0;0;0;1;0;0;0
A;2026-05-27 06:00;1;45;0;2;0;0;0;0;0;0;2;0
A;2026-05-27 07:00;0;57;0;2;0;0;0;0;3;0;2;0
A;2026-05-27 08:00;0;59;0;1;0;0;0;0;0;0;2;0
A;2026-05-27 09:00;0;52;0;3;0;0;0;0;2;0;3;0
A;2026-05-27 10:00;0;44;0;2;0;0;0;0;1;0;3;0
A;2026-05-27 11:00;0;68;0;3;0;0;0;0;1;0;0;0
A;2026-05-27 12:00;0;41;0;3;1;0;0;0;3;0;2;0
A;2026-05-27 13:00;1;48;0;4;2;0;0;0;2;0;1;0
A;2026-05-27 14:00;0;50;0;3;0;0;0;0;6;1;3;0
A;2026-05-27 15:00;0;62;0;4;1;0;0;0;2;0;6;0
A;2026-05-27 16:00;0;59;0;4;0;0;0;0;6;0;7;1
A;2026-05-27 17:00;0;64;0;2;0;0;0;0;8;0;6;0
A;2026-05-27 18:00;0;67;0;0;0;0;0;0;5;1;4;1
A;2026-05-27 19:00;0;63;0;3;1;0;1;0;5;1;9;0
A;2026-05-27 20:00;0;47;0;1;0;0;0;0;3;0;0;0
A;2026-05-27 21:00;0;27;0;0;0;0;0;0;0;0;5;0
A;2026-05-27 22:00;0;9;0;0;0;0;0;0;0;0;0;0
A;2026-05-27 23:00;0;4;0;1;0;0;0;0;0;0;0;0
C;2026-05-27 00:00;0;0;0;0;0;0;0;0;0;0;0;0
C;2026-05-27 01:00;0;0;0;1;0;0;0;0;0;0;0;0
C;2026-05-27 02:00;0;0;0;0;0;0;0;0;0;0;0;0
C;2026-05-27 03:00;0;0;0;0;0;0;0;0;0;0;0;0
C;2026-05-27 04:00;0;0;0;0;0;0;0;0;0;0;0;0
C;2026-05-27 05:00;0;0;0;0;1;0;0;0;0;0;0;0
C;2026-05-27 06:00;1;11;0;0;0;0;0;0;0;0;2;0
C;2026-05-27 07:00;0;16;0;1;0;0;0;0;0;0;0;0
C;2026-05-27 08:00;0;23;0;0;0;0;0;0;0;0;1;0
C;2026-05-27 09:00;0;21;0;1;0;0;0;0;1;0;0;0
C;2026-05-27 10:00;0;31;0;1;1;0;0;0;1;0;1;0
C;2026-05-27 11:00;0;17;0;5;0;0;0;0;0;0;2;1
C;2026-05-27 12:00;1;28;0;2;0;0;0;0;0;0;2;0
C;2026-05-27 13:00;0;32;0;2;0;0;0;0;1;0;0;0
C;2026-05-27 14:00;2;21;0;1;0;0;0;0;1;0;1;0
C;2026-05-27 15:00;0;48;0;0;0;0;0;0;0;0;0;0
C;2026-05-27 16:00;0;31;0;2;0;0;0;0;1;0;2;0
C;2026-05-27 17:00;1;42;0;0;0;0;0;0;3;0;6;0
C;2026-05-27 18:00;0;42;0;0;0;0;0;0;0;0;1;0
C;2026-05-27 19:00;0;37;0;0;0;0;0;0;4;0;0;0
C;2026-05-27 20:00;1;30;0;0;0;0;0;0;0;0;0;0
C;2026-05-27 21:00;0;21;0;0;0;0;0;0;0;0;1;0
C;2026-05-27 22:00;0;6;0;0;0;0;0;0;0;0;0;0
C;2026-05-27 23:00;0;1;0;0;0;0;0;0;0;0;0;0
E;2026-05-27 00:00;0;8;0;4;1;7;0;0;0;0;0;0
E;2026-05-27 01:00;0;6;0;1;2;9;0;0;0;0;0;0
E;2026-05-27 02:00;0;5;0;3;2;7;0;0;0;0;0;0
E;2026-05-27 03:00;0;7;0;5;0;10;0;0;0;0;0;0
E;2026-05-27 04:00;1;28;0;4;4;7;0;0;0;0;0;0
E;2026-05-27 05:00;1;114;0;10;8;20;1;0;0;0;0;0
E;2026-05-27 06:00;0;197;0;17;10;19;0;0;5;0;0;0
E;2026-05-27 07:00;6;248;1;25;15;38;2;0;2;0;0;0
E;2026-05-27 08:00;1;210;0;36;17;28;4;0;0;0;0;0
E;2026-05-27 09:00;0;164;0;14;27;38;1;0;0;0;0;0
E;2026-05-27 10:00;1;124;2;20;23;32;2;0;1;0;0;0
E;2026-05-27 11:00;1;109;0;22;31;49;1;1;2;0;0;0
E;2026-05-27 12:00;0;121;0;23;33;34;0;0;0;0;4;0
E;2026-05-27 13:00;1;128;3;19;26;25;1;0;2;0;0;0
E;2026-05-27 14:00;4;191;0;14;16;32;1;0;5;0;2;0
E;2026-05-27 15:00;4;227;1;16;17;26;4;1;1;0;1;0
E;2026-05-27 16:00;6;207;0;10;15;24;2;1;5;0;4;0
E;2026-05-27 17:00;1;204;1;15;8;34;1;1;10;0;2;0
E;2026-05-27 18:00;1;188;1;9;2;15;0;0;9;0;1;0
E;2026-05-27 19:00;2;146;0;8;4;13;2;0;8;0;2;0
E;2026-05-27 20:00;1;119;0;9;3;6;1;0;1;0;0;0
E;2026-05-27 21:00;1;85;0;2;1;9;0;0;1;0;0;0
E;2026-05-27 22:00;1;54;0;2;0;6;0;0;1;0;0;0
E;2026-05-27 23:00;0;28;0;3;3;5;0;0;0;0;0;0
D;2026-05-27 00:00;0;3;0;1;0;0;0;0;0;0;0;0
D;2026-05-27 01:00;0;0;0;0;0;0;0;0;0;0;0;0
D;2026-05-27 02:00;0;0;0;0;0;0;0;0;0;0;0;0
D;2026-05-27 03:00;0;2;0;2;0;0;0;0;0;0;0;0
D;2026-05-27 04:00;0;1;0;1;0;0;0;0;0;0;0;0
D;2026-05-27 05:00;0;5;1;0;0;0;5;0;0;0;0;0
D;2026-05-27 06:00;0;32;1;2;0;1;4;0;2;0;0;0
D;2026-05-27 07:00;0;41;0;3;0;1;4;0;4;0;0;0
D;2026-05-27 08:00;1;48;0;4;8;1;5;0;1;0;0;0
D;2026-05-27 09:00;0;38;0;4;3;0;5;0;1;0;0;0
D;2026-05-27 10:00;0;34;0;2;1;0;5;0;2;0;0;0
D;2026-05-27 11:00;1;36;0;2;7;1;4;0;7;0;0;0
D;2026-05-27 12:00;0;34;0;3;0;1;3;0;5;0;0;0
D;2026-05-27 13:00;0;33;1;1;0;1;5;0;3;0;0;0
D;2026-05-27 14:00;0;50;1;3;0;0;4;1;3;0;0;0
D;2026-05-27 15:00;0;82;0;0;0;0;5;0;4;0;0;0
D;2026-05-27 16:00;0;52;0;4;0;0;3;0;2;0;0;0
D;2026-05-27 17:00;1;58;1;1;0;0;4;0;3;0;0;0
D;2026-05-27 18:00;1;66;0;3;0;0;2;0;2;0;1;0
D;2026-05-27 19:00;0;64;0;3;0;0;3;0;0;0;0;0
D;2026-05-27 20:00;1;48;0;2;0;0;3;0;2;0;1;0
D;2026-05-27 21:00;3;25;0;1;0;0;2;0;2;0;0;0
D;2026-05-27 22:00;0;23;0;0;1;0;3;0;1;0;0;0
D;2026-05-27 23:00;0;5;0;0;0;0;0;0;0;0;0;0
F;2026-05-27 00:00;0;0;0;0;0;0;0;0;0;0;0;0
F;2026-05-27 01:00;0;0;0;0;0;0;0;0;0;0;0;0
F;2026-05-27 02:00;0;0;0;0;0;0;0;0;0;0;0;0
F;2026-05-27 03:00;0;0;0;1;0;0;0;0;0;0;0;0
F;2026-05-27 04:00;0;1;0;0;0;0;0;0;1;0;0;0
F;2026-05-27 05:00;2;6;0;1;0;0;0;0;0;0;0;0
F;2026-05-27 06:00;4;23;0;1;0;0;0;0;2;0;0;0
F;2026-05-27 07:00;1;39;0;1;1;0;0;0;2;0;0;0
F;2026-05-27 08:00;0;40;0;4;1;0;0;1;0;0;0;0
F;2026-05-27 09:00;0;32;0;1;1;0;0;0;0;0;0;0
F;2026-05-27 10:00;1;33;0;2;1;1;0;1;4;0;0;0
F;2026-05-27 11:00;1;44;0;2;2;0;0;0;4;0;0;0
F;2026-05-27 12:00;1;23;0;1;0;0;0;0;4;0;0;0
F;2026-05-27 13:00;1;23;0;0;1;1;0;0;3;0;0;0
F;2026-05-27 14:00;2;35;0;5;0;0;0;0;3;0;0;0
F;2026-05-27 15:00;2;44;1;2;2;0;0;0;7;0;0;0
F;2026-05-27 16:00;3;47;0;3;0;0;0;0;5;0;0;0
F;2026-05-27 17:00;1;65;0;1;0;0;0;0;4;0;0;0
F;2026-05-27 18:00;0;63;0;1;1;0;0;0;4;0;0;0
F;2026-05-27 19:00;2;48;0;1;0;0;0;0;0;0;0;0
F;2026-05-27 20:00;1;34;0;1;0;0;0;0;1;0;0;0
F;2026-05-27 21:00;1;18;0;0;0;0;0;0;2;0;0;0
F;2026-05-27 22:00;0;3;0;0;0;0;0;0;0;0;0;0
F;2026-05-27 23:00;0;1;0;0;0;0;0;0;0;0;0;0
G;2026-05-27 00:00;0;2;0;6;1;0;0;0;0;0;3;0
G;2026-05-27 01:00;0;1;0;4;0;0;0;0;0;0;0;0
G;2026-05-27 02:00;0;0;0;0;0;0;0;0;0;0;0;0
G;2026-05-27 03:00;0;1;0;1;0;0;0;0;0;0;0;0
G;2026-05-27 04:00;0;8;0;1;0;0;0;0;0;0;0;0
G;2026-05-27 05:00;0;14;0;0;1;0;0;0;2;0;4;0
G;2026-05-27 06:00;0;79;0;5;0;0;0;0;5;0;2;0
G;2026-05-27 07:00;1;72;0;3;1;0;0;1;2;0;1;0
G;2026-05-27 08:00;0;46;0;3;1;1;0;0;2;0;1;0
G;2026-05-27 09:00;1;62;0;7;2;1;0;0;3;0;0;0
G;2026-05-27 10:00;0;60;0;3;0;0;0;0;0;0;0;0
G;2026-05-27 11:00;1;75;0;6;1;1;0;0;2;0;1;0
G;2026-05-27 12:00;1;67;0;5;1;0;0;0;0;0;3;0
G;2026-05-27 13:00;0;101;0;3;1;1;0;0;2;0;1;0
G;2026-05-27 14:00;0;121;1;2;0;0;0;0;1;0;4;1
G;2026-05-27 15:00;0;163;0;5;0;0;0;0;12;0;5;0
G;2026-05-27 16:00;0;165;0;3;0;0;0;0;11;1;1;1
G;2026-05-27 17:00;1;145;0;2;0;0;0;0;10;1;4;0
G;2026-05-27 18:00;0;126;0;1;0;0;0;0;0;0;6;0
G;2026-05-27 19:00;0;121;0;3;0;0;0;0;7;0;3;0
G;2026-05-27 20:00;1;85;0;0;0;0;0;0;0;1;0;0
G;2026-05-27 21:00;0;50;0;0;0;0;0;0;0;0;0;0
G;2026-05-27 22:00;0;23;0;1;0;0;0;0;0;0;0;0
G;2026-05-27 23:00;0;5;0;3;0;0;0;0;0;0;0;0
I;2026-05-27 00:00;0;15;0;1;0;1;0;0;0;0;0;0
I;2026-05-27 01:00;0;11;0;0;0;2;0;0;0;0;0;0
I;2026-05-27 02:00;0;5;0;4;1;6;0;0;0;0;0;0
I;2026-05-27 03:00;0;8;0;4;0;8;0;0;0;0;0;0
I;2026-05-27 04:00;0;26;1;9;2;14;0;0;0;0;0;0
