Kategoria,B,A,C,E,D,F,G,I,J,H,M,K,L,N,Sum,Udział [%]
Osobowe,1849,885,458,2918,780,622,1592,2306,5608,2222,2584,1987,2371,981,27163,84.5%
Dostawcze,46,46,16,291,42,28,67,299,207,165,102,41,198,48,1596,5.0%
Ciężarowe z naczepami,3,0,0,493,6,2,4,373,20,29,0,5,10,2,947,2.9%
Ciężarowe,6,5,2,268,20,10,9,306,23,26,5,8,50,9,747,2.3%
Autobusy,32,1,0,23,69,0,0,31,96,17,0,34,61,1,365,1.1%
Mikrobusy,0,0,0,9,5,1,1,6,1,3,4,2,11,2,45,0.1%
Rolne,0,0,0,4,1,2,1,8,2,0,0,0,2,4,24,0.1%
Moto,12,2,6,33,8,23,6,33,67,39,32,7,29,1,298,0.9%
Rowery,16,48,12,53,44,46,59,28,29,96,55,0,41,52,579,1.8%
Hulajnogi,0,3,0,0,0,0,3,0,3,0,5,0,0,4,18,0.1%
Piesi,16,55,19,16,2,0,39,2,22,26,132,0,6,27,362,1.1%
Pieszy potrzeby,0,2,1,0,0,0,2,0,0,0,8,0,0,2,15,0.0%
Suma,1980,1047,514,4108,977,734,1783,3392,6078,2623,2927,2084,2779,1133,32159,100%
