Wlot,Relacja,Godz,b.moto,c.osobowe,c3.mikrobusy,d.dostawcze,e.ciężarowe,f.ciężarowe z naczepą,g.autobusy,h.rolne,rowery,hulajnogi,pieszy,pieszy potrzeby
PD,Wprost,0,0,2,0,0,0,0,0,0,0,0,0,0
PD,Wprost,1,0,1,0,0,0,1,0,0,0,0,0,0
PD,Wprost,2,0,1,0,2,0,1,0,0,0,0,0,0
PD,Wprost,3,0,1,0,0,0,0,0,0,0,0,0,0
PD,Wprost,4,0,1,0,3,0,0,1,0,0,0,0,0
PD,Wprost,5,0,9,0,1,0,0,3,0,0,0,0,0
PD,Wprost,6,0,74,0,2,0,0,2,0,2,0,0,0
PD,Wprost,7,1,141,0,2,0,0,2,0,5,0,2,0
PD,Wprost,8,1,105,0,1,0,0,1,0,3,0,6,0
PD,Wprost,9,0,106,0,8,1,1,1,0,4,0,4,0
PD,Wprost,10,2,81,0,3,0,0,2,0,2,0,4,0
PD,Wprost,11,1,92,0,3,2,0,1,0,0,0,0,0
PD,Wprost,12,0,113,0,4,1,0,2,0,0,0,0,0
PD,Wprost,13,0,104,0,1,2,0,2,0,0,0,0,0
PD,Wprost,14,3,129,0,1,0,0,2,0,0,0,0,0
PD,Wprost,15,0,122,0,2,0,0,2,0,0,0,0,0
PD,Wprost,16,1,126,0,5,0,0,1,0,0,0,0,0
PD,Wprost,17,0,136,0,2,0,0,3,0,0,0,0,0
PD,Wprost,18,0,157,0,2,0,0,1,0,0,0,0,0
PD,Wprost,19,1,151,0,3,0,0,1,0,0,0,0,0
PD,Wprost,20,0,98,0,1,0,0,1,0,0,0,0,0
PD,Wprost,21,2,78,0,0,0,0,2,0,0,0,0,0
PD,Wprost,22,0,19,0,0,0,0,2,0,0,0,0,0
PD,Wprost,23,0,2,0,0,0,0,0,0,0,0,0,0
PD,Prawo,0,0,1,0,0,0,0,0,0,0,0,0,0
PD,Prawo,1,0,0,0,7,0,0,0,0,0,0,0,0
PD,Prawo,2,0,1,0,1,0,0,0,0,0,0,0,0
PD,Prawo,3,0,1,0,0,0,0,0,0,0,0,0,0
PD,Prawo,4,0,0,0,0,0,0,0,0,0,0,0,0
PD,Prawo,5,0,16,0,0,0,0,0,0,1,0,0,0
PD,Prawo,6,1,45,0,2,0,0,0,0,0,0,2,0
PD,Prawo,7,0,57,0,2,0,0,0,0,3,0,2,0
PD,Prawo,8,0,59,0,1,0,0,0,0,0,0,2,0
PD,Prawo,9,0,52,0,3,0,0,0,0,2,0,3,0
PD,Prawo,10,0,44,0,2,0,0,0,0,1,0,3,0
PD,Prawo,11,0,68,0,3,0,0,0,0,1,0,0,0
PD,Prawo,12,0,41,0,3,1,0,0,0,3,0,2,0
PD,Prawo,13,1,48,0,4,2,0,0,0,2,0,1,0
PD,Prawo,14,0,50,0,3,0,0,0,0,6,1,3,0
PD,Prawo,15,0,62,0,4,1,0,0,0,2,0,6,0
PD,Prawo,16,0,59,0,4,0,0,0,0,6,0,7,1
PD,Prawo,17,0,64,0,2,0,0,0,0,8,0,6,0
PD,Prawo,18,0,67,0,0,0,0,0,0,5,1,4,1
PD,Prawo,19,0,63,0,3,1,0,1,0,5,1,9,0
PD,Prawo,20,0,47,0,1,0,0,0,0,3,0,0,0
PD,Prawo,21,0,27,0,0,0,0,0,0,0,0,5,0
PD,Prawo,22,0,9,0,0,0,0,0,0,0,0,0,0
PD,Prawo,23,0,4,0,1,0,0,0,0,0,0,0,0
PD,Lewo,0,0,0,0,0,0,0,0,0,0,0,0,0
PD,Lewo,1,0,0,0,1,0,0,0,0,0,0,0,0
PD,Lewo,2,0,0,0,0,0,0,0,0,0,0,0,0
PD,Lewo,3,0,0,0,0,0,0,0,0,0,0,0,0
PD,Lewo,4,0,0,0,0,0,0,0,0,0,0,0,0
PD,Lewo,5,0,0,0,0,1,0,0,0,0,0,0,0
PD,Lewo,6,1,11,0,0,0,0,0,0,0,0,2,0
PD,Lewo,7,0,16,0,1,0,0,0,0,0,0,0,0
PD,Lewo,8,0,23,0,0,0,0,0,0,0,0,1,0
PD,Lewo,9,0,21,0,1,0,0,0,0,1,0,0,0
PD,Lewo,10,0,31,0,1,1,0,0,0,1,0,1,0
PD,Lewo,11,0,17,0,5,0,0,0,0,0,0,2,1
PD,Lewo,12,1,28,0,2,0,0,0,0,0,0,2,0
PD,Lewo,13,0,32,0,2,0,0,0,0,1,0,0,0
PD,Lewo,14,2,21,0,1,0,0,0,0,1,0,1,0
PD,Lewo,15,0,48,0,0,0,0,0,0,0,0,0,0
PD,Lewo,16,0,31,0,2,0,0,0,0,1,0,2,0
PD,Lewo,17,1,42,0,0,0,0,0,0,3,0,6,0
PD,Lewo,18,0,42,0,0,0,0,0,0,0,0,1,0
PD,Lewo,19,0,37,0,0,0,0,0,0,4,0,0,0
PD,Lewo,20,1,30,0,0,0,0,0,0,0,0,0,0
PD,Lewo,21,0,21,0,0,0,0,0,0,0,0,1,0
PD,Lewo,22,0,6,0,0,0,0,0,0,0,0,0,0
PD,Lewo,23,0,1,0,0,0,0,0,0,0,0,0,0
WSCH,Wprost,0,0,8,0,4,1,7,0,0,0,0,0,0
WSCH,Wprost,1,0,6,0,1,2,9,0,0,0,0,0,0
WSCH,Wprost,2,0,5,0,3,2,7,0,0,0,0,0,0
WSCH,Wprost,3,0,7,0,5,0,10,0,0,0,0,0,0
WSCH,Wprost,4,1,28,0,4,4,7,0,0,0,0,0,0
WSCH,Wprost,5,1,114,0,10,8,20,1,0,0,0,0,0
WSCH,Wprost,6,0,197,0,17,10,19,0,0,5,0,0,0
WSCH,Wprost,7,6,248,1,25,15,38,2,0,2,0,0,0
WSCH,Wprost,8,1,210,0,36,17,28,4,0,0,0,0,0
WSCH,Wprost,9,0,164,0,14,27,38,1,0,0,0,0,0
WSCH,Wprost,10,1,124,2,20,23,32,2,0,1,0,0,0
WSCH,Wprost,11,1,109,0,22,31,49,1,1,2,0,0,0
WSCH,Wprost,12,0,121,0,23,33,34,0,0,0,0,4,0
WSCH,Wprost,13,1,128,3,19,26,25,1,0,2,0,0,0
WSCH,Wprost,14,4,191,0,14,16,32,1,0,5,0,2,0
WSCH,Wprost,15,4,227,1,16,17,26,4,1,1,0,1,0
WSCH,Wprost,16,6,207,0,10,15,24,2,1,5,0,4,0
WSCH,Wprost,17,1,204,1,15,8,34,1,1,10,0,2,0
WSCH,Wprost,18,1,188,1,9,2,15,0,0,9,0,1,0
WSCH,Wprost,19,2,146,0,8,4,13,2,0,8,0,2,0
WSCH,Wprost,20,1,119,0,9,3,6,1,0,1,0,0,0
WSCH,Wprost,21,1,85,0,2,1,9,0,0,1,0,0,0
WSCH,Wprost,22,1,54,0,2,0,6,0,0,1,0,0,0
WSCH,Wprost,23,0,28,0,3,3,5,0,0,0,0,0,0
WSCH,Lewo,0,0,3,0,1,0,0,0,0,0,0,0,0
WSCH,Lewo,1,0,0,0,0,0,0,0,0,0,0,0,0
WSCH,Lewo,2,0,0,0,0,0,0,0,0,0,0,0,0
WSCH,Lewo,3,0,2,0,2,0,0,0,0,0,0,0,0
WSCH,Lewo,4,0,1,0,1,0,0,0,0,0,0,0,0
WSCH,Lewo,5,0,5,1,0,0,0,5,0,0,0,0,0
WSCH,Lewo,6,0,32,1,2,0,1,4,0,2,0,0,0
WSCH,Lewo,7,0,41,0,3,0,1,4,0,4,0,0,0
WSCH,Lewo,8,1,48,0,4,8,1,5,0,1,0,0,0
WSCH,Lewo,9,0,38,0,4,3,0,5,0,1,0,0,0
WSCH,Lewo,10,0,34,0,2,1,0,5,0,2,0,0,0
WSCH,Lewo,11,1,36,0,2,7,1,4,0,7,0,0,0
WSCH,Lewo,12,0,34,0,3,0,1,3,0,5,0,0,0
WSCH,Lewo,13,0,33,1,1,0,1,5,0,3,0,0,0
WSCH,Lewo,14,0,50,1,3,0,0,4,1,3,0,0,0
WSCH,Lewo,15,0,82,0,0,0,0,5,0,4,0,0,0
WSCH,Lewo,16,0,52,0,4,0,0,3,0,2,0,0,0
WSCH,Lewo,17,1,58,1,1,0,0,4,0,3,0,0,0
WSCH,Lewo,18,1,66,0,3,0,0,2,0,2,0,1,0
WSCH,Lewo,19,0,64,0,3,0,0,3,0,0,0,0,0
WSCH,Lewo,20,1,48,0,2,0,0,3,0,2,0,1,0
WSCH,Lewo,21,3,25,0,1,0,0,2,0,2,0,0,0
WSCH,Lewo,22,0,23,0,0,1,0,3,0,1,0,0,0
WSCH,Lewo,23,0,5,0,0,0,0,0,0,0,0,0,0
WSCH,Prawo,0,0,0,0,0,0,0,0,0,0,0,0,0
WSCH,Prawo,1,0,0,0,0,0,0,0,0,0,0,0,0
WSCH,Prawo,2,0,0,0,0,0,0,0,0,0,0,0,0
WSCH,Prawo,3,0,0,0,1,0,0,0,0,0,0,0,0
WSCH,Prawo,4,0,1,0,0,0,0,0,0,1,0,0,0
WSCH,Prawo,5,2,6,0,1,0,0,0,0,0,0,0,0
WSCH,Prawo,6,4,23,0,1,0,0,0,0,2,0,0,0
WSCH,Prawo,7,1,39,0,1,1,0,0,0,2,0,0,0
WSCH,Prawo,8,0,40,0,4,1,0,0,1,0,0,0,0
WSCH,Prawo,9,0,32,0,1,1,0,0,0,0,0,0,0
WSCH,Prawo,10,1,33,0,2,1,1,0,1,4,0,0,0
WSCH,Prawo,11,1,44,0,2,2,0,0,0,4,0,0,0
WSCH,Prawo,12,1,23,0,1,0,0,0,0,4,0,0,0
WSCH,Prawo,13,1,23,0,0,1,1,0,0,3,0,0,0
WSCH,Prawo,14,2,35,0,5,0,0,0,0,3,0,0,0
WSCH,Prawo,15,2,44,1,2,2,0,0,0,7,0,0,0
WSCH,Prawo,16,3,47,0,3,0,0,0,0,5,0,0,0
WSCH,Prawo,17,1,65,0,1,0,0,0,0,4,0,0,0
WSCH,Prawo,18,0,63,0,1,1,0,0,0,4,0,0,0
WSCH,Prawo,19,2,48,0,1,0,0,0,0,0,0,0,0
WSCH,Prawo,20,1,34,0,1,0,0,0,0,1,0,0,0
WSCH,Prawo,21,1,18,0,0,0,0,0,0,2,0,0,0
WSCH,Prawo,22,0,3,0,0,0,0,0,0,0,0,0,0
WSCH,Prawo,23,0,1,0,0,0,0,0,0,0,0,0,0
ZACH,Lewo,0,0,2,0,6,1,0,0,0,0,0,3,0
ZACH,Lewo,1,0,1,0,4,0,0,0,0,0,0,0,0
ZACH,Lewo,2,0,0,0,0,0,0,0,0,0,0,0,0
ZACH,Lewo,3,0,1,0,1,0,0,0,0,0,0,0,0
ZACH,Lewo,4,0,8,0,1,0,0,0,0,0,0,0,0
